order_id,order_date,ship_date,customer_name,segment,category,sales,quantity,discount,profit,shipping_cost,order_priority
CA-2011-103800,4/1/2011,8/1/2011,Darren Powers,Consumer,Office Supplies,16,2,0.2,5.5512,1.82,High
IN-2011-33036,4/1/2011,8/1/2011,Bradley Drucker,Consumer,Office Supplies,27,3,0,13.68,1.54,Medium
IT-2011-2942451,4/1/2011,9/1/2011,Grant Thornton,Corporate,Office Supplies,17,2,0.5,-1.05,0.9,Medium
SU-2011-5190,4/1/2011,8/1/2011,Jasper Cacioppo,Consumer,Office Supplies,15,1,0,2.61,0.82,Medium
SU-2011-5190,4/1/2011,8/1/2011,Jasper Cacioppo,Consumer,Office Supplies,6,1,0,2.1,0.51,Medium
MX-2011-109267,5/1/2011,9/1/2011,Jennifer Halladay,Consumer,Office Supplies,"3,029",8,0,999.36,191.2,Medium
ES-2011-3848439,5/1/2011,7/1/2011,Michael Granlund,Home Office,Office Supplies,207,4,0,76.56,20.64,Medium
ES-2011-3848439,5/1/2011,7/1/2011,Michael Granlund,Home Office,Office Supplies,90,3,0,20.52,15.27,Medium
CA-2011-112326,5/1/2011,9/1/2011,Phillina Ober,Home Office,Office Supplies,273,3,0.2,-64.7748,13.59,High
IN-2011-27681,5/1/2011,11/1/2011,Shaun Weien,Consumer,Furniture,49,1,0,22.92,5.82,Low
CA-2011-112326,5/1/2011,9/1/2011,Phillina Ober,Home Office,Office Supplies,12,3,0.2,4.2717,0.99,High
CA-2011-112326,5/1/2011,9/1/2011,Phillina Ober,Home Office,Office Supplies,4,2,0.8,-5.487,0.55,High
ES-2011-5496179,6/1/2011,9/1/2011,Shahid Hopkins,Consumer,Furniture,324,3,0,35.64,39.98,High
IN-2011-29963,6/1/2011,10/1/2011,Brosina Hoffman,Consumer,Office Supplies,50,3,0.17,6.0084,6.2,High
ID-2011-41632,6/1/2011,13/01/2011,Robert Dilbeck,Home Office,Office Supplies,90,2,0.17,29.2686,3.62,Medium
IN-2011-29963,6/1/2011,10/1/2011,Brosina Hoffman,Consumer,Office Supplies,41,7,0.47,-27.0942,2.63,High
ID-2011-41632,6/1/2011,13/01/2011,Robert Dilbeck,Home Office,Office Supplies,39,3,0.17,11.5893,2.45,Medium
AO-2011-4910,6/1/2011,11/1/2011,Grace Kelly,Corporate,Technology,28,1,0,12.72,2,Medium
IN-2011-76107,6/1/2011,10/1/2011,Khloe Miller,Consumer,Office Supplies,31,1,0,13.11,1.96,High
CA-2011-141817,6/1/2011,13/01/2011,Mick Brown,Consumer,Office Supplies,20,3,0.2,4.884,1.85,Low
CA-2011-167199,7/1/2011,11/1/2011,Maria Etezadi,Home Office,Furniture,"2,574",9,0,746.4078,258.99,High
CA-2011-167199,7/1/2011,11/1/2011,Maria Etezadi,Home Office,Office Supplies,610,2,0,274.491,88.07,High
CA-2011-167199,7/1/2011,11/1/2011,Maria Etezadi,Home Office,Technology,392,2,0,113.6742,62.37,High
MZ-2011-1260,7/1/2011,10/1/2011,Stewart Visinsky,Consumer,Office Supplies,256,2,0,46.02,52.46,High
ID-2011-58670,7/1/2011,11/1/2011,Maribeth Schnelling,Consumer,Technology,445,7,0.25,-136.71,46.97,High
ID-2011-58670,7/1/2011,11/1/2011,Maribeth Schnelling,Consumer,Technology,274,2,0.45,-44.838,42.19,High
ES-2011-5433855,7/1/2011,8/1/2011,Dave Poirier,Corporate,Office Supplies,716,4,0.1,143.16,32.46,Medium
ID-2011-58670,7/1/2011,11/1/2011,Maribeth Schnelling,Consumer,Technology,388,3,0.25,25.8075,26.2,High
LE-2011-9590,7/1/2011,11/1/2011,Harry Marie,Corporate,Technology,174,1,0,71.46,23.84,High
CA-2011-167199,7/1/2011,11/1/2011,Maria Etezadi,Home Office,Technology,756,4,0,204.1092,13.82,High
MZ-2011-1260,7/1/2011,10/1/2011,Stewart Visinsky,Consumer,Office Supplies,45,1,0,8.49,13.7,High
ES-2011-5433855,7/1/2011,8/1/2011,Dave Poirier,Corporate,Office Supplies,33,3,0,2.25,9.73,Medium
ES-2011-5433855,7/1/2011,8/1/2011,Dave Poirier,Corporate,Furniture,155,1,0.1,36.228,5.72,Medium
CA-2011-130813,7/1/2011,9/1/2011,Lycoris Saunders,Consumer,Office Supplies,19,3,0,9.3312,4.37,High
AG-2011-7230,7/1/2011,11/1/2011,Alyssa Crouse,Corporate,Office Supplies,91,2,0,14.58,4.36,Medium
MX-2011-135629,7/1/2011,7/1/2011,Dorothy Dickinson,Consumer,Office Supplies,43,4,0,6,3.94,High
MX-2011-135629,7/1/2011,7/1/2011,Dorothy Dickinson,Consumer,Office Supplies,19,3,0,2.4,3.69,High
CA-2011-106054,7/1/2011,8/1/2011,Jack O'Briant,Corporate,Office Supplies,13,3,0,5.2398,3.51,Critical
ID-2011-58670,7/1/2011,11/1/2011,Maribeth Schnelling,Consumer,Office Supplies,27,1,0.45,-4.494,3.21,High
LE-2011-9590,7/1/2011,11/1/2011,Harry Marie,Corporate,Furniture,26,1,0,7.38,2.88,High
CA-2011-167199,7/1/2011,11/1/2011,Maria Etezadi,Home Office,Office Supplies,31,4,0,0.3112,2.19,High
CA-2011-167199,7/1/2011,11/1/2011,Maria Etezadi,Home Office,Office Supplies,7,1,0,3.0084,1.13,High
ID-2011-28752,7/1/2011,12/1/2011,Adam Bellavance,Home Office,Office Supplies,18,2,0,5.46,0.89,Medium
CA-2011-167199,7/1/2011,11/1/2011,Maria Etezadi,Home Office,Office Supplies,5,2,0,1.4796,0.52,High
IT-2011-5134922,7/1/2011,10/1/2011,Joy Smith,Consumer,Office Supplies,5,1,0.5,-0.105,0.28,Medium
AO-2011-1670,8/1/2011,13/01/2011,Henia Zydlo,Consumer,Furniture,"2,479",6,0,49.5,349.87,High
IN-2011-19330,8/1/2011,12/1/2011,Nicole Fjeld,Home Office,Technology,"2,174",7,0,260.82,275.52,Medium
IT-2011-4546695,8/1/2011,14/01/2011,Darren Powers,Consumer,Furniture,987,6,0.6,-1011.636,65.64,Medium
MX-2011-121202,8/1/2011,13/01/2011,Christopher Martinez,Consumer,Office Supplies,397,3,0,182.52,33.67,Medium
CA-2011-105417,8/1/2011,13/01/2011,Vivek Sundaresam,Consumer,Furniture,77,3,0.6,-53.7096,6.69,Medium
MX-2011-121202,8/1/2011,13/01/2011,Christopher Martinez,Consumer,Office Supplies,50,7,0,20.3,5.66,Medium
IT-2011-4546695,8/1/2011,14/01/2011,Darren Powers,Consumer,Office Supplies,116,5,0.5,-55.65,3.91,Medium
NI-2011-4770,8/1/2011,11/1/2011,Joe Elijah,Consumer,Office Supplies,5,2,0.7,-4.542,0.82,High
CA-2011-105417,8/1/2011,13/01/2011,Vivek Sundaresam,Consumer,Office Supplies,10,7,0.8,-18.2525,0.63,Medium
ID-2011-20814,9/1/2011,13/01/2011,Ed Braxton,Corporate,Technology,240,2,0.17,-11.6028,34.99,High
IN-2011-69366,9/1/2011,14/01/2011,Alejandro Grove,Consumer,Technology,177,6,0.47,-156.6792,17.09,Medium
ID-2011-46483,9/1/2011,13/01/2011,Sample Company A,Home Office,Office Supplies,158,5,0.45,-2.9775,10.08,High
IN-2011-69366,9/1/2011,14/01/2011,Alejandro Grove,Consumer,Technology,124,2,0.17,32.793,7.93,Medium
ID-2011-46483,9/1/2011,13/01/2011,Sample Company A,Home Office,Office Supplies,52,7,0.45,4.5885,5.55,High
IN-2011-69366,9/1/2011,14/01/2011,Alejandro Grove,Consumer,Office Supplies,45,5,0.17,17.8935,3.31,Medium
ID-2011-46483,9/1/2011,13/01/2011,Sample Company A,Home Office,Office Supplies,9,1,0.45,-1.7175,0.69,High
IN-2011-69366,9/1/2011,14/01/2011,Alejandro Grove,Consumer,Office Supplies,10,2,0.17,0.0714,0.25,Medium
IN-2011-61302,10/1/2011,11/1/2011,Dan Lawera,Consumer,Technology,"2,875",5,0.1,511.095,665.27,Medium
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Furniture,363,1,0,159.87,134.59,Critical
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Technology,589,4,0,276.6,114.15,Critical
EG-2011-4260,10/1/2011,12/1/2011,Sanjit Jacobs,Home Office,Furniture,968,2,0,445.26,80.13,High
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Office Supplies,142,6,0,63.9,67.79,Critical
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Office Supplies,155,6,0,54.18,58.32,Critical
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Technology,156,2,0,23.4,52.91,Critical
AG-2011-1070,10/1/2011,15/01/2011,Tiffany House,Corporate,Office Supplies,309,1,0,61.71,31.41,Medium
US-2011-101091,10/1/2011,16/01/2011,Jocasta Rupert,Consumer,Technology,425,3,0.402,-278.79024,26.72,Medium
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Office Supplies,53,2,0,0,16.06,Critical
IT-2011-3659171,10/1/2011,14/01/2011,Greg Guthrie,Corporate,Office Supplies,206,3,0.5,-41.265,14.65,Medium
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Office Supplies,42,1,0,1.65,13.08,Critical
MX-2011-140697,10/1/2011,15/01/2011,Paul MacIntyre,Consumer,Office Supplies,114,3,0,56.88,8.93,Medium
IN-2011-13065,10/1/2011,11/1/2011,Patrick O'Donnell,Consumer,Office Supplies,26,2,0,5.4,5.86,High
IN-2011-61302,10/1/2011,11/1/2011,Dan Lawera,Consumer,Office Supplies,30,4,0.1,12.096,5.54,Medium
IN-2011-13065,10/1/2011,11/1/2011,Patrick O'Donnell,Consumer,Office Supplies,34,3,0,16.11,5.26,High
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Technology,37,1,0,5.55,4.32,Critical
IN-2011-61302,10/1/2011,11/1/2011,Dan Lawera,Consumer,Office Supplies,162,6,0.1,53.694,3.02,Medium
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Office Supplies,11,1,0,2.61,2.59,Critical
HU-2011-1380,10/1/2011,10/1/2011,Elpida Rittenbach,Corporate,Office Supplies,11,1,0,2.4,2.03,Critical
SF-2011-6400,10/1/2011,14/01/2011,Ricardo Sperren,Corporate,Office Supplies,17,1,0,4.65,1.29,Medium
CA-2011-135405,10/1/2011,14/01/2011,Melanie Seite,Consumer,Technology,31,3,0.2,9.75,1.13,Medium
ID-2011-13660,10/1/2011,15/01/2011,Brian Dahlen,Consumer,Office Supplies,12,3,0.47,-5.6826,1.04,Medium
MX-2011-140697,10/1/2011,15/01/2011,Paul MacIntyre,Consumer,Office Supplies,16,1,0,1.76,0.89,Medium
CA-2011-135405,10/1/2011,14/01/2011,Melanie Seite,Consumer,Office Supplies,9,2,0.2,1.168,0.21,Medium
ES-2011-5158390,11/1/2011,11/1/2011,Roy Collins,Consumer,Furniture,"1,384",3,0,13.77,178.98,Medium
US-2011-163874,11/1/2011,12/1/2011,Philip Fox,Consumer,Office Supplies,"1,323",10,0,238,103.84,Medium
US-2011-163874,11/1/2011,12/1/2011,Philip Fox,Consumer,Furniture,452,5,0.2,-107.3,57.75,Medium
IN-2011-39308,11/1/2011,18/01/2011,David Flashing,Consumer,Technology,554,4,0.17,40.0536,42.43,Medium
IN-2011-79761,11/1/2011,16/01/2011,Steve Carroll,Home Office,Technology,697,3,0.35,-343.098,40.16,Medium
US-2011-163874,11/1/2011,12/1/2011,Philip Fox,Consumer,Technology,245,5,0,88,39.11,Medium
IN-2011-39308,11/1/2011,18/01/2011,David Flashing,Consumer,Office Supplies,334,9,0.27,13.4703,23.56,Medium
ES-2011-4359424,11/1/2011,15/01/2011,Dorothy Dickinson,Consumer,Furniture,268,2,0.6,-341.736,21.49,High
ES-2011-5158390,11/1/2011,11/1/2011,Roy Collins,Consumer,Office Supplies,103,2,0,19.5,20.54,Medium
IN-2011-39308,11/1/2011,18/01/2011,David Flashing,Consumer,Furniture,188,5,0.27,2.4735,15.77,Medium
IN-2011-29872,11/1/2011,15/01/2011,Dianna Vittorini,Consumer,Furniture,142,3,0,52.38,15.62,High
TU-2011-800,11/1/2011,15/01/2011,Chuck Sachs,Consumer,Furniture,157,2,0.6,-117.72,12.45,High
ID-2011-82589,11/1/2011,15/01/2011,Tanja Norvell,Home Office,Office Supplies,115,4,0.4,-47.832,10.52,Medium
ES-2011-1466305,11/1/2011,15/01/2011,Mick Brown,Consumer,Office Supplies,97,2,0,31.02,7.99,High
IN-2011-79761,11/1/2011,16/01/2011,Steve Carroll,Home Office,Furniture,78,2,0.25,23.775,7.09,Medium
US-2011-163874,11/1/2011,12/1/2011,Philip Fox,Consumer,Office Supplies,140,3,0,32.1,6.47,Medium
ES-2011-1466305,11/1/2011,15/01/2011,Mick Brown,Consumer,Office Supplies,55,1,0,9.87,5.83,High
CA-2011-149020,11/1/2011,16/01/2011,Anthony Jacobs,Corporate,Furniture,52,1,0,21.2954,3.52,Medium
ES-2011-4359424,11/1/2011,15/01/2011,Dorothy Dickinson,Consumer,Office Supplies,40,5,0,5.55,2.57,High
ES-2011-1138719,11/1/2011,16/01/2011,Eric Murdock,Consumer,Office Supplies,22,3,0,6.75,1.09,Medium
IN-2011-39308,11/1/2011,18/01/2011,David Flashing,Consumer,Office Supplies,5,1,0.17,-0.0147,0.3,Medium
CA-2011-149020,11/1/2011,16/01/2011,Anthony Jacobs,Corporate,Office Supplies,3,1,0,1.3583,0.22,Medium
MX-2011-141530,12/1/2011,17/01/2011,Thomas Seio,Corporate,Technology,495,3,0,178.2,54.55,Medium
MX-2011-141530,12/1/2011,17/01/2011,Thomas Seio,Corporate,Technology,385,3,0.002,68.64852,38.19,Medium
ES-2011-1460199,12/1/2011,19/01/2011,Roy Phan,Corporate,Furniture,552,5,0.1,165.36,35.98,Medium
ES-2011-1460199,12/1/2011,19/01/2011,Roy Phan,Corporate,Technology,522,2,0,20.88,28.92,Medium
ES-2011-4976144,12/1/2011,17/01/2011,Anthony Garverick,Home Office,Furniture,290,5,0,69.6,18.63,Medium
ES-2011-5040255,12/1/2011,15/01/2011,Peter Bühler,Consumer,Office Supplies,34,2,0.5,-6.15,7.31,Medium
ES-2011-1460199,12/1/2011,19/01/2011,Roy Phan,Corporate,Office Supplies,257,5,0,48.75,7.28,Medium
CA-2011-130092,12/1/2011,15/01/2011,Seth Vernon,Consumer,Furniture,10,2,0,3.0814,2.69,Critical
ES-2011-1460199,12/1/2011,19/01/2011,Roy Phan,Corporate,Office Supplies,17,2,0,6.18,2.08,Medium
NI-2011-1670,12/1/2011,16/01/2011,Shaun Chance,Corporate,Office Supplies,15,2,0.7,-22.458,1.27,Medium
NI-2011-1670,12/1/2011,16/01/2011,Shaun Chance,Corporate,Office Supplies,16,1,0.7,-28.518,1.27,Medium
NI-2011-1670,12/1/2011,16/01/2011,Shaun Chance,Corporate,Office Supplies,13,4,0.7,-21.648,0.62,Medium
NI-2011-1670,12/1/2011,16/01/2011,Shaun Chance,Corporate,Office Supplies,5,1,0.7,-10.326,0.43,Medium
NI-2011-1670,12/1/2011,16/01/2011,Shaun Chance,Corporate,Office Supplies,3,1,0.7,-6.483,0.25,Medium
NI-2011-1670,12/1/2011,16/01/2011,Shaun Chance,Corporate,Office Supplies,17,1,0.7,-26.649,0.24,Medium
EG-2011-4270,13/01/2011,18/01/2011,Roger Demir,Consumer,Office Supplies,794,4,0,134.88,76.6,Medium
EG-2011-4270,13/01/2011,18/01/2011,Roger Demir,Consumer,Technology,"1,200",4,0,479.88,55.62,Medium
MX-2011-150567,13/01/2011,17/01/2011,Ben Wallace,Consumer,Technology,201,1,0,100.62,31.78,High
IT-2011-5340302,13/01/2011,19/01/2011,Greg Matthias,Consumer,Office Supplies,198,2,0.5,-130.98,14.53,Medium
EG-2011-4270,13/01/2011,18/01/2011,Roger Demir,Consumer,Office Supplies,38,2,0,17.22,2.66,Medium
US-2011-105760,13/01/2011,17/01/2011,James Lanier,Home Office,Office Supplies,26,5,0.4,-8,2.2,High
IT-2011-5951216,13/01/2011,20/01/2011,Stuart Calhoun,Consumer,Office Supplies,31,5,0.5,-13.65,2.16,Medium
IT-2011-5340302,13/01/2011,19/01/2011,Greg Matthias,Consumer,Office Supplies,50,2,0.5,-37.86,1.51,Medium
IT-2011-5340302,13/01/2011,19/01/2011,Greg Matthias,Consumer,Office Supplies,22,4,0.5,-12.3,1.29,Medium
IN-2011-38349,13/01/2011,17/01/2011,Cari Sayre,Corporate,Office Supplies,16,2,0.1,0.33,0.72,Medium
IT-2011-5340302,13/01/2011,19/01/2011,Greg Matthias,Consumer,Office Supplies,9,3,0.5,-3.465,0.43,Medium
CA-2011-157147,14/01/2011,19/01/2011,Brian Dahlen,Consumer,Office Supplies,"1,326",5,0,238.653,187.65,High
CA-2011-162775,14/01/2011,16/01/2011,Chris Selesnick,Corporate,Office Supplies,573,6,0,34.3548,146.29,Critical
CA-2011-162775,14/01/2011,16/01/2011,Chris Selesnick,Corporate,Technology,647,6,0,258.696,141.35,Critical
ES-2011-1043483,14/01/2011,19/01/2011,Sharelle Roach,Home Office,Technology,486,3,0,77.67,53.02,High
CA-2011-109232,14/01/2011,17/01/2011,Natalie DeCherney,Consumer,Furniture,546,6,0,87.3504,52.32,Medium
ES-2011-1043483,14/01/2011,19/01/2011,Sharelle Roach,Home Office,Technology,440,6,0,65.88,49.92,High
CA-2011-157147,14/01/2011,19/01/2011,Brian Dahlen,Consumer,Furniture,334,3,0.15,3.9294,40.44,High
ES-2011-1043483,14/01/2011,19/01/2011,Sharelle Roach,Home Office,Office Supplies,224,11,0,102.96,30.34,High
MX-2011-135979,14/01/2011,20/01/2011,Bart Pistole,Corporate,Furniture,393,3,0,180.96,27.67,Medium
MX-2011-168599,14/01/2011,15/01/2011,Ted Butterfield,Consumer,Office Supplies,106,4,0,18.96,26.23,High
SF-2011-7680,14/01/2011,21/01/2011,Steve Nguyen,Home Office,Office Supplies,136,12,0,31.32,23.89,Low
CA-2011-162775,14/01/2011,16/01/2011,Chris Selesnick,Corporate,Office Supplies,51,3,0,25.47,12.66,Critical
MX-2011-135979,14/01/2011,20/01/2011,Bart Pistole,Corporate,Office Supplies,246,12,0,7.2,11.88,Medium
TU-2011-4040,14/01/2011,18/01/2011,Bruce Degenhardt,Consumer,Office Supplies,110,2,0.6,-54.972,11.53,Medium
ID-2011-16453,14/01/2011,21/01/2011,Muhammed Yedwab,Corporate,Furniture,99,3,0.25,-23.7375,9.71,Low
ID-2011-16453,14/01/2011,21/01/2011,Muhammed Yedwab,Corporate,Office Supplies,80,3,0.45,5.742,9.43,Low
MX-2011-135979,14/01/2011,20/01/2011,Bart Pistole,Corporate,Office Supplies,109,3,0,28.38,6.11,Medium
TU-2011-4040,14/01/2011,18/01/2011,Bruce Degenhardt,Consumer,Office Supplies,79,1,0.6,-85.332,5.84,Medium
TU-2011-4040,14/01/2011,18/01/2011,Bruce Degenhardt,Consumer,Office Supplies,74,4,0.6,-70.32,4.48,Medium
MX-2011-135979,14/01/2011,20/01/2011,Bart Pistole,Corporate,Office Supplies,66,8,0,9.12,3.61,Medium
CA-2011-157147,14/01/2011,19/01/2011,Brian Dahlen,Consumer,Office Supplies,20,5,0,6.567,3.03,High
CA-2011-162775,14/01/2011,16/01/2011,Chris Selesnick,Corporate,Office Supplies,11,2,0,5.3392,2.88,Critical
CA-2011-118192,14/01/2011,19/01/2011,Michael Moore,Consumer,Office Supplies,37,7,0.2,13.0928,1.46,Medium
CA-2011-162775,14/01/2011,16/01/2011,Chris Selesnick,Corporate,Office Supplies,6,3,0,2.7072,0.85,Critical
TU-2011-4040,14/01/2011,18/01/2011,Bruce Degenhardt,Consumer,Office Supplies,79,4,0.6,-87.168,0.43,Medium
CA-2011-118192,14/01/2011,19/01/2011,Michael Moore,Consumer,Office Supplies,3,2,0.7,-2.5212,0.27,Medium
ES-2011-3661686,15/01/2011,20/01/2011,Don Jones,Corporate,Technology,527,2,0,10.5,92.1,Medium
ES-2011-1374122,15/01/2011,18/01/2011,Craig Leslie,Home Office,Furniture,652,2,0.1,7.2,88.52,Medium
MX-2011-129420,15/01/2011,17/01/2011,Ross Baird,Home Office,Furniture,265,3,0.2,23.22,43.56,Medium
ID-2011-38832,15/01/2011,15/01/2011,Mick Crebagga,Consumer,Office Supplies,150,4,0.27,-49.3488,21.15,Critical
ID-2011-38832,15/01/2011,15/01/2011,Mick Crebagga,Consumer,Office Supplies,51,3,0.27,-0.0126,21.13,Critical
ES-2011-3661686,15/01/2011,20/01/2011,Don Jones,Corporate,Office Supplies,249,1,0.1,2.76,15.08,Medium
CA-2011-149524,15/01/2011,16/01/2011,Brendan Sweed,Corporate,Furniture,62,4,0.5,-53.2856,10.96,High
ES-2011-3661686,15/01/2011,20/01/2011,Don Jones,Corporate,Office Supplies,170,5,0,25.35,8.42,Medium
ES-2011-3661686,15/01/2011,20/01/2011,Don Jones,Corporate,Office Supplies,55,2,0,2.16,4.12,Medium
NI-2011-2280,15/01/2011,21/01/2011,Mick Brown,Consumer,Furniture,45,1,0.7,-56.856,3.43,Medium
NI-2011-2280,15/01/2011,21/01/2011,Mick Brown,Consumer,Office Supplies,19,6,0.7,-38.898,1.46,Medium
NI-2011-2280,15/01/2011,21/01/2011,Mick Brown,Consumer,Office Supplies,15,2,0.7,-14.754,1.02,Medium
ES-2011-3661686,15/01/2011,20/01/2011,Don Jones,Corporate,Office Supplies,21,2,0,7.44,0.76,Medium
CA-2011-103366,16/01/2011,18/01/2011,Erica Hackney,Consumer,Technology,150,5,0,65.978,45.24,Critical
MX-2011-145765,17/01/2011,22/01/2011,Alan Haines,Corporate,Technology,"1,412",11,0.002,251.71124,159.52,High
ES-2011-3305419,17/01/2011,19/01/2011,Edward Hooks,Corporate,Office Supplies,300,11,0,50.82,38.7,High
CA-2011-115791,17/01/2011,19/01/2011,Delfina Latchford,Consumer,Furniture,127,6,0.2,28.5984,36.4,Critical
CA-2011-115791,17/01/2011,19/01/2011,Delfina Latchford,Consumer,Technology,124,3,0.4,-31.05,26.12,Critical
CA-2011-115791,17/01/2011,19/01/2011,Delfina Latchford,Consumer,Office Supplies,30,3,0.2,10.1493,10.17,Critical
ES-2011-3305419,17/01/2011,19/01/2011,Edward Hooks,Corporate,Office Supplies,84,5,0.1,33.675,7.33,High
ES-2011-3305419,17/01/2011,19/01/2011,Edward Hooks,Corporate,Office Supplies,95,4,0.1,42.24,6.56,High
ES-2011-3305419,17/01/2011,19/01/2011,Edward Hooks,Corporate,Office Supplies,46,3,0.1,18.846,6.46,High
ID-2011-80538,17/01/2011,18/01/2011,Vivian Mathis,Consumer,Office Supplies,37,4,0.4,-9.288,5.48,High
CA-2011-115791,17/01/2011,19/01/2011,Delfina Latchford,Consumer,Office Supplies,19,2,0.7,-13.6312,5.26,Critical
IN-2011-78501,17/01/2011,21/01/2011,Tamara Willingham,Home Office,Office Supplies,19,2,0.1,5.136,3.96,High
